text,target
#or09 MattZ admits to Teh Clumsy.  ,positive
ok..smiling from ear to ear here  hahaha!,positive
@twsnell1984 2 months from now I'll be some where over the pacific. ,positive
"someone drive me to newcastle, I need to see beckey! ",negative
@hanaabanana Thanks for the song I love it ,positive
@shazamy lucky you! i dont think im going to get to see them   the dates just dont work out with my schedule,negative
@goldenspines Twitter often does weird stuff.  ,positive
"is hanging with Bryant&amp;&amp;Hailee, possibly Lafayette tonight. 'nd i don't know why i keep updating this because i have 0 followers ",positive
@tear__catcher no ,negative
Awwwww zoey is scared of the storm ,negative
@AquaAHH #ilove everything old school!  ,positive
http://twitpic.com/7nq2p - This is what I've been moaning about all evening... killing sore ,negative
Just had my lunch   Yippies xD LOL,positive
@EmaCartoon Positive. It says Wednesday June 17th ,negative
...I personally had my fill of the Sister Mary Margaret(s) something or other. 12 yrs of catholic school...so done. ,positive
&quot;only a life lived for others is a life worthwhile.&quot; ,positive
"Hi Sara, this is Zach from Tel Aviv, Israel.. just wanted to say I am addicted to your music! ",positive
@evablue my favourite #iheartslitmywristsmusic musician.   â« http://blip.fm/~7t27w,positive
@riceagain enjoy...just got into on the convo about suzhou and taxi rides...... ,positive
@TurryG91 flickr.com or however you spell it... just like put that into google and itll come up ,positive
@AnimalLovers12 oh that's cruel  how can they choose which dog to keep. a dog is a member of our family,negative
@personaljesuss Follow @FACTORY413 they are selling supras via twitter. For Bee ,positive
@ElizabethAnn82 didn't know when i could tweet about it. mom called me at like 7:30. now i have to head to work ,negative
"lalala , dr.pepper just hits the spot ",positive
"Note to self, before buying huge job lots of internet only games, make sure there are still servers running for it.  Another 99p wasted ",negative
"@debramichelle heck yessss! you know it! Love my job! I get wayy too many days off, every1 sits and talks! No nazi nonsense! ",positive
"Getting to work, sorting out what happened last night ",negative
@DaisyReyes ohh ok! thanks! i'll add you tomorrow! because i'm too lazy to open my ym! hehe! ,positive
"These Subway employees are in a hurry, and this customer is ordering at the top of his lungs and asking for employee recommendations. Fun ",positive
@Tilbs just heading out with my brother ,positive
waiting for my rancid box to come in the mail ,negative
"I am extra broken today. I took the meds my doc gave me for spasms but not for pain, was scared to take them at work. Now I want drugs ",negative
gonna watch 'the outsiders' ,positive
Starting class. Today we start MediSoft. ,positive
I want to do light writing but its hard to do by myself  lol,negative
What a fun night it was ,positive
I feel like 100% crap today...      blah,negative
Sat at home bored  need something to do! Any ideas? x,negative
i cant sleep `til your next to mee~ ,positive
@jraimond  That sucks ,negative
had fun todayy  chelsey's for the night; who knows what's going on tomorrow,positive
@Sofiasanti lets have a threesome with it? maybe even a five-some if Anna and Amy want ,positive
okay. this kinda cheered me up.  lol http://tumblr.com/xva1z442t,positive
@OffTheHookShop Hey guys you have your 300 followers  Congrats !!!,positive
Im feeling so lonely now  Boring.,negative
@Bethenny OMG you are always on the go...wow...I'm exhausted just from following u on twitter...    atta girl!,positive
@Sophcornwell I don't know what time i'll be in yet. I'm not allowed to drive in though ,negative
@Momstheword67 I wish I could take a kitten off of your hands ,negative
"@ladysov ladysov...Are u alright? If u cant hear urself remember to go see a docta, i wish u get well soon ",positive
My pillow's all wet ,negative
watchin' a movie ,positive
@anrserge Cavs are making me sick Serge  if they dont win umma kick Bron where it hurts!,negative
"Happiness comes from within...so the fact that it is a gray, rainy, Monday doesn't bother me. Well, not too much. ",positive
Dieting can really take it's toll ,negative
@Bonedwarf thought you might be F1'd up today ,positive
"Late night documentaries and sleeping on the couch, or hanging out at shows and beths to save us from ourselves... Hmmm ",positive
@NickyMcB thats great!  I have a little sister which is 11 years younger. She drives me nuts though lol,positive
"@drinkmoxie @grantimahara - oh sure! we're huge fans of the busters of myth - we tried to do something for the new season, but timing was ",negative
@marue720 nope  i'm sooo curious....,negative
"@Danthol Yeah, I know.    It's been tough; our schedule's completely thrown off the last few wks.  Really hoping to record this week.",negative
still afraid of the mouse in her house ,negative
bored at homee ,negative
Am liking the sunnny weather ,positive
Hum Heat Stroke Has Basically Gone Now ,positive
"you really make me want to puke. you have absolutely NOTHING, you just don't realize it yet. ",positive
'gran torino' must see film! it made me cry  haha,negative
@cow_grrrl AH - why all the fun when I am away ,negative
Please stop comparing all pro-life people with the wackos who killed george tiller ,negative
"I'm off to bed, so exhausted!! I got a real bad headache  Thank God it's Saturday tomorrow! Xoxo",negative
"@architeuth1s Lol! Oh well, in her job she needs to be awake more than the rest of us  What have you got on today?",positive
Looks like I won't be getting operated b4 my album release   Gonna surprise my pops at work and have lunch with him! Happy late Dad's day!,negative
@jimmyrobinson07 thanks ,positive
Just dropped off the lil sis.. Day goes from incredible to sad.. I love that little girl.. ,negative
"@Jperryman73 I already gave her my advice a couple of months ago, you know, when he did it to her last time  Maybe now she takes it?",negative
"If you click on line that slightly resembles an l beside your name, you can see a picture  It's a nice one if I might add! @itsNICKJ0NAS",positive
@meganthevegan Happy birthday! Sounds like a great day ,positive
Horrible day in marshfield in a hotel ALL day with the flu while everyone else is enjoying the reunion. ,negative
@heatherleanne @the_lyn I have a whole panel done. I lost my drawing mojo tonight.  But it'll happen!,negative
"Waiting on @zaniii for din, can't wait to have the fresh corn...St. Emilion Bordeaux while I wait ",positive
"@sunshine_ LOOOOLLL I was wondering whooo the hell was that!! I called back at 6 AM but it was busyyyy  What's up, my love?",negative
@_pants_ devil woman! no this is a family dinner ,negative
@marykatez lol great movie.. i cant wait for the new one! ,positive
"yeah, we can go to tom crobbity, at the KWAYS, somwhere near Crick. ",positive
"@tommcfly mmm Tasty, you'r making me hungry now ",negative
happy potter on the telly ,positive
Really wants some phÃ² rite now ,negative
@Tellybelly1 http://twitpic.com/6rmnk - Cute...one in every color! They look like best buds ,positive
"@kyle270 Orite  haha, i'm stood with sara and lauren from your school  haha, love you xx",positive
Good morning Twitter Land!! Wassup  #Battleground,positive
Why should I be charged because someone else's check bounced?!  I do not &quot;amen&quot; that. ,negative
Wow what a great weather out there ,positive
"tired of this, ",negative
@AndreaGenevieve awww. She's not gone forever. ,negative
wondering what to waste my time with ,positive
@laffit www.tinyurl.com/o3vlyc  and yesssss were fans of One Call ,positive
Morning world! What a lovely day!! ,positive
@ DaveDesch not a bad night.. I enjoyed it.. ,positive
Just I need At my  true friends! I donÂ´t wanna a bad friends!! ,negative
So fresh and so clean clean after her workout. ,positive
"@vendeesign AyÃ©, le geek est officielement une cible marketing ",negative
Had some painful contractions this afternoon; called the doctor and then they stopped...so I'm good now ,positive
"@katyshetter oh, we won't leavethe area -this is it for us.  Just get a smaller house   I am totally on board for a family commune ",positive
"@pumpupositive No prob on the sun...heading your way!!! BTW, A little restriction is exactly what I need...I have no self control lately! ",negative
Damn internet jus cut me off!  was bout 2 shoot sum guys eye out  ~*~KANDI~*~,negative
Would very much prefer to be back in Crete. Back to work tomorrow ,negative
@ElizaPatricia The glasses make you look coquettish. ,positive
@MustBeBenHughes hahah! sadly there is no current activity though in the room ,negative
"HOME!!!  from my relatives. my sissy, @jennyisms, posted pics of her and our cupie cousin Audrey.  ???",positive
@sethsimonds some mint leaves. I drank all the lemonade already. ,negative
is playing around on facebook then im going out before i go to work .  x,positive
"@fenaseniero @chingkeelim Yup, 4 confirmed cases as of two days ago ",negative
today has been so annoying first i walk to get hair dye and they don't even sell it and then the gym was closed ,negative
@saturnboy good job!  So pretty ,positive
Damn its hard when you miss someone ,negative
Tried to go through my gaming pile of shame today but ended up replaying left 4 dead the whole time instead ,negative
is thinking that laying down sounds nice....but I don't like the idea of sleeping while Dave flies over the Atlantic.  *sniff*,negative
Got a tattoo! ,positive
Just finished watching the last of Star Wars ,positive
"Finally got to watch #idol finale. I love that show so much, and when kris hugged his wife at the end, how sweet. Aw ",positive
has a poorly little fella who is currently cuddled up on the settee in a duvet watching his fave programmes ,negative
@Gameboy_ontheb na cuz you said at this white people party you hate me ,negative
"' Mothers , others and Jonas Brothers ' hahaha yeess @ddlovato is super awesome ! haha crazy girl ever ",positive
@puhterodactyls there's a baby blue jay stuck in a tree behind my house crying for his mommy  it's heartbreaking.,negative
won tickets to see the jonas brothers (: ...but of course I can't go ,negative
@chrismjand We just saw unnecessary quotations.. Pet Supplies &quot;Plus&quot;.Too slow to take a pic. ,negative
my replies are soooo slow!!! ,negative
"@martinb9999 need to get an intel based mac 1st   but this impacts on dual core vs quad choice, latter probably better for virtualization",positive
@xotaylor I read the first book and I could feel the literary AIDS engulfing my body ,negative
"@moanyboot haha I see, and who is the horny kitty ",positive
@common Hey !! XOXO ,positive
good night twitter !  love you x,positive
"Blah,  school   not so exciting .",negative
@jonasbrothers got the album in the mail today  &amp;a poster. ITS AMAZING! Hey baby&amp;turn right&amp;before the storm are my faves. Nicely done!,positive
@LogomotiveMike Absolutely LOVING the new Avatar! what a glorious revamp  of personal branding!,positive
por fin viernesssssssssssssssssssssssssssssssss... ,positive
i can't find anyone i know on this site ... ,negative
Oh it's make me sick It's rainin all day long!! I hate rain! comon I will buy the Album!!!! but I cant IF IT RAINS!!!!!!! ,negative
"@elduderino78 oh, thats fine - same podcast list is ok with me. Previously, it'd just STOP. dead in it's tracks. end of story ",negative
@staaceeyy ahhhhhh  i love stacey i love stacey i love stacey i love stacey i love stacey i love stacey i love stacey &lt;3,positive
"SF people!  bring your pink slip = get free jeans!  whata sweet deal!  Tues, 6/9 http://pinkslipmixers.com/calendar/event/2009/6/9/113544",positive
"2:45 PM Friday head ache, pain,arghhh its my weekend not time to be sick ",negative
aaahhh!!I have a pounding headache  I just feel like banging my head against something ,negative
"Today, my night prayer gonna include Natali L. who was probably killed by her uncle. My sympathies to her family and friends. Good Night ",negative
follo0w the beards  @30secondstomars,positive
ahaha muy bueno http://bit.ly/NXMY7  the lion sleep tonight ,positive
"@robinstorch I have the easy part. I just pull weeds and deadhead the flowers. Brian gets to mow, trim, and edge. ",positive
@shosho1 Uh huh. As always  it's just major bad today.,negative
has had a good day so far  So excited for this weekend! ,positive
"@vegbabi: so you're finding a hot lover to spend your nights with, no? within the 65+ bracket, of course. and boo. summer in the south ",negative
I have a bird on my porch with broken legs!!!!  nearly cut off I dont know what to do with it.,negative
Barbacoa...table for twelve  Blame it on the a-a-a-a...,positive
Beautiful day! Too bad I will have to study... ,negative
reading girl friend magazine ,positive
@chloemichelle15 Yeahhh :'D I can't wait!â¥ â¥ But that's way in July ,negative
"home alone. @Setokin went to Japan GT, daddy @Hadramie out to Nilai 3 with mommy. ",negative
@PadsandPaws hope you feel better ,positive
@HappyCassie Well I cant believe the weekend is almost over ,negative
@DellyRodge lol only just that last tweet you sent me  x,positive
@tyrelassie they probaby couldn't resist your Scottish accent. lol ,positive
"after just a day, ive run out of ideas to write on my blog  maybe my mind will sort itself out after exams!",negative
I LOVE MY BLACKBERRY ,positive
No work for the next 3 daysssâ¦ yesssss  http://tumblr.com/xio1yx3yt,positive
"@gentleman_luke lol, that's very cool, i love the sound of it. The contract did sound good. You def made a good choice ",positive
I so did NOT just ate fish and chips two days in a row. Uh Nuh.. ,negative
well i'm out...goodnite! ,positive
@bryanrhoads yeah me too... @SwagnerDesigns can always participate next week! ,positive
Goood Morning! ,positive
whooooooooooooooo off grounding  i love you twitter world,positive
very hapy that daniel comes home today he been gone to long i love him ,positive
@HOTTVampChick no  no more unless I win irvine tix or break down and go to another concert,negative
@RaceB Bummers. Nyquil works pretty good too;) Feel better ,negative
just finished working out ,positive
@PaulaH63 Ooo hope so too. Sounds like we have a similar plan for the day. I'm thinking vampire or maybe alien family ,positive
Wow...just got done watching making te band...very dramatic! I did shed a tear ,negative
chateando  jeje,positive
@LynziLoo I kinda miss those days lol. Now we all have our own places and we don't party anymore. wtf?! we're getting old  nooo.,negative
"@theneener Cash in a favor and send a friend to go get you ibuprofen! If I could twitter it to you, I would. ",positive
#Java is not working - hmph!  Can't upload photos to #Facebook. ,negative
playing some killer basketball with some friends! ,positive
@kirstiealley goodnight! ,positive
On my way home. ,negative
omg hasn't post it yet ,negative
"Going to bed now, don't want to swear but it's that four letter word tomorrow...... work ",negative
"@darlingnikki08 I'm fine thankyou, apart from a bit of hayfever   How are you doing?",negative
@jonnamannion I needs my hursss cut ,negative
@Miss_Hel I still can't help feeling that way. ,negative
not sure what to do with the info i have ,negative
"You know you from Philly or the surrounding area when you dont say &quot;Boy&quot;, you say &quot;BOL&quot;. lol I left MD before I could learn slang. ",negative
@thelight @psam wishing you an excellent weekend. ,positive
Woke up to the Sounds of a Tree being Cut down poor tree ,negative
My tummy hurts..  cant sleep &amp; i need someone to talk to...,negative
"beginning to think a visit to ENT(Ear, Nose and Throat) dr is in order. I can't kick these sinus infections. My ears and throat hurt! ",negative
Im liking google chrome ,positive
finally home..its late and im tired ,negative
@j0ames meee!... too bad I live in Sydney! Make down under your next trip ,positive
Missed the UPS guy again! Ugh so sad  But i got some cool stuff today that i'm super excited about! And looking forward to tonight too ,negative
yes i really want one to but i dont no where to fym a cool one ,negative
@peterfacinelli  Wait a minute!  You're wife is a mom!  LOL  ,positive
@fhgrl33 also a good one!  Too bad she's done .... for the season... ,negative
im angry ,positive
@DebbieFletcher Did you see the dinner photos that i send to you ? ,positive
hate living down here in fl. missing GA like crazy...like they say you dont know what you got till its gone  GA on my mind,negative
"@anna8687 I'm not sure, not much though ",negative
and now my FAV song!!!! COLDPLAY  evening is getting better and better...  liking shuffling on my iphone tonight.... ,positive
Kirsten is never up in the morning. And i think she is mad at me ,negative
"@bigced On this daily grind, scanning producers, updating our social media, and enjoying some Iced Tea  You?",positive
@missjenn409 Hello Miss Jenn. Welcome to the wonderful world of twittering  Nice to have you onboard!,positive
@GKFennell 2 hours?! My faulllt!  Ye be a genius no matter how many hours hehe&lt;3,negative
LAST ONE TODAY PEOPLE..........THIS ONES FOR BELLA............BELLA ARE YOU MAD AT ME  ANSWER BACK PLEASE PEACE PEOPLE,negative
"I hate this diet  first meal of the day just not, and all the food can fit in the palm of my hand lol",negative
"@THICKDECADENCE I hope to see you @ my place sometime, we have a coffee shop &amp; a tea room. ",positive
Morning world. It's a beautiful day  Here's hoping for some pathetic fallacy,positive
"@quixoticblazes I've heard good things about S. Carolina... It'll be a change goin to big auditorium classes but hey, just need to adjust ",positive
Phantom Hourglass Manga: Now in English http://tinyurl.com/d582op sweeta ,positive
"Poolside &lt;3, running, researching HWFAA  XXX",positive
im only going to whine one time: ive worked for like 2 weeks straight with only like 3 days off. my feet hurt ,negative
@derekmgale Sorry--got my dates confused (you mean it isn't August yet?).  Maybe I'll see you in a few months. ,positive
"Dj-ing in Jersey tomorrow.  Do come, if you happen to be in the Channel Islands ",positive
How dare they shut the electricity off while I'm in the middle of an intense air hockey game  maaafuckkas,positive
@ssafrankie  in reply to your text: yes. It's all bullshit and makes me angry and i'm trying not to think about it  I HAS  NO CREDIT LEFT!,negative
LOADING... || watching nothing but the truth. ,positive
back online after a downtime of 72hrs ,negative
is at home bc of the weather  so ugly outside!!! be back on tomorrow hopefully i gotta study for my test!!!!!,negative
@newO_nyboR I thought he was really genuine  I thought little Aidan should have been in the top 3 too!],positive
Seriously why do people cut their cut 9 o'clock in the morning?!?!?!?!?!?!? Now i cant go back to sleep ,negative
@KRichcreek you're welcome ,positive
Just woke up in a swelteringly hot room covered in sweat. ,negative
Go listen to painted whore    @Melissagreen,positive
Also new blog post from my Saturday beach adventure http://tinyurl.com/ccwvpd ,positive
Today my prom!! ,positive
@sueannesjewelry  I'm actaully going to head off and get some crap done....   I'll still be around ....kinda.... LOL!,negative
@Katiff are you feeling better? sorry you're feeling under! ,negative
"@hamsterkitten yes, true.!  Still, need to get more efficient here.",positive
Softball games tonight at 830 and 930pm let me know if ur coming so I can give u directions! ,positive
don't think i can get anything right today ,negative
@spongecanary I don't think so. ,negative
Lover thunder storms ,positive
@DrMarlenebbs Absolutely! Being helpful and memorable is the name of the game ,positive
First day of summer bowling tonight. ,positive
@DrJeffersnBoggs you are most welcome ,positive
I am sitting on my sofa starving  watching some boring cooking thing on tele and setting up my twitter page,negative
is bored  cinema later though the sleep over (Y),negative
"Was woken up by sirens that lasted 10 minutes, meep. Hope nothing awful has happened  Watching SFTW in bed with a cuppa now. So sleepy...",negative
Surfer's paradisee! ,positive
@kayleevz ha wat up ha  i barely saw you tonight . . ,negative
is up again... I soooo need to go to bed earlier tonight... I'll be in need of coffeine asap ,negative
@btrshrtscrtes you have me ,positive
bored again ,negative
exhausted and I have a brutal headache ,negative
@KrissyJill I do and he's never there!  Is it the little Sam picture from here?,negative
@jonathanrknight ......... ,positive
@potentiate shit! I slept a ton yesterday bec of migraine. My meds flat knock me out for most of an entire day. ,negative
@Mnmissy just two and that was enough then they hooked up and almost forgot about me I wanted to play too ,negative
"@mommakisses Nope, need full-timers. That's part of the problem. I know a lot of great freelancers; none looking for full-time work in TN ",negative
"I wish they'd utilize UNIT more in new Who.  Times being what they are, I guess... No room in the 21st century for another Bent. or Brig. ",negative
"@gulpanag @ankita_gaba i work in a network, dedicated to hybrid media brands   i guess  i have a skewed vision.  Agreed though",positive
is congratulating all Filipinos for another victory courtesy of the No.1 Pound-4-Pound Fight in the WORLD- Manny &quot;the PACMAN&quot; Pacquiao. ,positive
@samchez haha  I know right! I &lt;3 frankston.,positive
My baby surprised me with a bvlgari perfume..how very sweet ,positive
@frisbeelee I know  SoSO upset about it! Now we have to hope they can THRASH the bulls!!! ... Yipes!,negative
@BarryBrothers I am lost. Please help me find a good home. ,negative
Hanging out on Catalina Island - what am i going to do next weekend when I can't visit this awesome place ,negative
@joshmull good enough ,positive
@ddlovato nooooooooooooo i was just in London  sucks,negative
@ginoobear: Stop being such a sad bear! ,negative
has a phone again! But my computer je dead i think ,negative
i've had to deal with the wrath of @laurenlonghorn ALLLLLLLLL damn day. but this isn't a complaint because obv i love it/will miss it! ,negative
@valensarahi21 Why u don't want to go out?Have so fun ,positive
In 1 hour my 2pm-10pm shift will have started  depressing...,negative
says Server too busy. Yadda yadda. What's next? Why am I so grumpy?  http://plurk.com/p/xnsr2,negative
@TheDavidBlaise Happy birthday. Enjoy 21. It passes by too quickly. ,positive
"wasting some time and avoiding real life at the moment, sick of school work and still have more too do ",negative
"@ParentStudent You do babysitting, fantastic, Can I ask your rates and how far you travel? ",positive
@mileycyrus http://twitpic.com/67hac - Looks like you guys were having fun ,positive
aww..poor Susan..she was hospitalized.  http://bit.ly/1fGGYE,negative
just lost a drag race ,negative
revision! ,negative
@DanaAK That's not true. We just talked about you yesterday when we saw your pictures in Firas's Wedding ,positive
"@Shockbox I think my face has been a little too heated  I'm not bringing out the fan just yet, though.",negative
Minus 1 protein shaker ,negative
wowowow. I haven't tweeted in a whilee. :/ I just had the funnest dayy. now he left. ,negative
@GeminiDragon  me wah more followers lol,negative
I MISS HIM SO MUCH YOU KNOW. ,negative
Diversity wer brilliant tonight so happy they won!!!!!!!!!!!!!!!!!!!!!!!!! ,positive
@jeremiahxglen You're leaving me at Bridgeway!? ,negative
@lisaholmes you can buy my fiances duplex in Terwillegar ,positive
got so many exams ahead. pphhiiuuuh! ,negative
i want to move ,negative
@bellametaphor  they fell off. sisqo's fan site is all janky now. they are supposed to have a reality show or something coming out,negative
@ihl come back to me soon please ,negative
Adding new music to my ipod. ,positive
"Just woke up going to get breakfast, I feel quite ill and I neeeed to go shopping ",negative
"@semipenguin they are gone after I restarted TwetDeck  , and I wanted to follow  the peeps that I got posted frommy friends :/",negative
needs to start english and finish textiles! grrrr school ,negative
"i just got my heart broken, the guy i like , its kinda in love with a friend of mine and he wants me to help him!  sad",negative
Back from work...Coldstone was yummy  Counting my $$$ ... then to bed to dream about my back to back Keith concerts!!!,positive
@Knoc I tried that &amp; wen I comd out the curls my hair was too str8  they sed I'd have to have them sew the lox in. So I'd hav ta be all in,negative
"yup civil war in iran. and if they say &quot;death to...well prety much every non muslim.&quot; yeah... not good, not good  who are the warbackers?",negative
"Happy Mother's Day to all of you hard-working women out there!  I hope your day is full of love, laughter and handmade gifts!  ",positive
"First mile was 10:11 pace, last mile was 8:48 pace. Just kept feeling better &amp; better. Dead now ",positive
"In addition to the comfort factor, there's also the 1) libertarian and 2) laissez-faire in me that contribute to my dislike of helmets. ",positive
just ate 3 packets of sugar...feeling like i could jump so high i can see where stephanie lives ,positive
Lady hunters... look what I found  http://www.thewomanhunter.com/index.php,positive
playing wii @ via's house. homesick ,negative
"Woke up feeling sick, then cable and wifi died again. Now the fire alarm is going off. I guess things can only get better from here. ",positive
"Alright everybody, tomorrow I'm off on a cross-Thailand bike trip.  Back in mid-July. No laptop/phone, please don't email me  ",positive
"Missed a book at the library by like a minute, saw someone else with it ",negative
@rentedmule No clue.   Might be from my arthritis or I might have been born with it. Will know when I see the specialist.,negative
"feeling MUCH better, thank goodness. text me ",positive
"Spent evening looking after suki doggy shitting herself everywhere, falling off the decking into ditch and whining &amp; running into things ",negative
@candace14   hope you start to feel better soon!,negative
driving to ontario today for computer parts...should be an interesting day ,positive
Someone differ ent givin talk  karen,negative
Headed to eastside medical for my grandmothers surgery.. ,negative
"Good lord, Freedom Force is brilliant ",positive
"@xybil Kris&gt;Adam too. Still Danny. Honestly, I don't like Kris... Neither do I hate him.  It's just that I hate Adam.  Danny?! *Faints*",positive
oh. im depressed with the turnout kanina sa NBA.  magic!!,negative
I need more physical activities. My feet hurts when I wear heels again. ,negative
and then..then..the beaders who dont have a web presence. oh the sorrow!!!  ,negative
@erinkillsmile no i couldn't find any. ,negative
@McFreak_ yep  Tis a good one aswel ,positive
bronzin' my body ~ poolside ,positive
So what does everyone think about the Finals series between LA and Orlando? Lakers in 6? Lakers in 4? ,positive
"#Trendio Shit, I didn't buy Mark Webber cos I thought he would not rise.... And thus, went up 30% ",negative
I &lt;3 william scales! ,positive
"ok, only because you asked, I am getting  Highway One American Strat today.......my Tele has been asking for a friend...sorry iphone 3Gs ",negative
I'm so happy about meeting a friend in an hour!! ,positive
@raydee yeah i mean c'mon! im not jealouse at all! ,negative
@MariahCarey Always be my Baby is my all time favorite Mariah tune  Your amazing and I luv u 4 all the great music you've shared w/ us,positive
@PurposeFailed you know youve made it when my music player finds your cover art for your songs ,positive
@wzzmypantz 12 hours + on doing 3 of my assessments which is due tomorrow ,negative
On the way to jimbaran with radhia sapi nisa mitzy denin sacha aya tahl uje and bibil ,positive
@shanman98 A you no follow no more ,negative
Le sigh @ riggens that make easy shit hard ,negative
@wtcc you really don't reply to your fans.... ,negative
So bored!!!! Don't know what to do???!!! ,negative
"Dear Bk, I wanna rock with u but u make it so hard to get to where u r...y can't we meet halfway? ",negative
@warrenparkinson the production is called Block Party. We dance while playing and making constructions with huge blocks ,positive
Going to work on losing weight this summer. Gonna get purdy. Haha ,positive
@karinarenee your tweet was just included in The Longest Poem in the World www.longestpoemintheworld.com/tweet/16092/ ,positive
@iamjonathancook aw that sucks ,negative
@TomFelton I think we all know what that means ,positive
@dakronick seru bgt rame&quot;!! Enjoy then. Hahhaha  I'm going to enjoy all by myself :/ hahahaha,positive
@KBXX979TheBox  i want the tix ,positive
@rolandsmartin ah man!  I did not know you were going to be at the banquet! AUGH!  I should have gone. First time I missed in 5 years. ,negative
"Heading to the Carpathians in about 1.5 hours. Forecasted to rain all weekend  Gotta go pack my hiking pack, will update as we go...",negative
Just had a fantastic dinner with the girls at Penthouse at the Huntley Hotel in Santa Monica. Can't say no to that.... ,positive
"ok, im out... gonna try to be productive .... we'll see  &quot;Oh, look. Its the sweet life of Zach and Cas&quot;- Dean!",positive
"@BBRRIITTTTYY lol yeah there seems to be more these days, but thats good, means people are taking them more seriously ",positive
I wore green today in support of Iran.  Apparently no one else got the memo... ,negative
@aplusk I agree!! But it sucked that their servers crashed yesterday! ,negative
"http://twitpic.com/66r76 - if I had this, I swear I'll use it everyday ",positive
going jogging. exercise good for health ,positive
@decryption So there _is_ a reason that otherwise sane people sign up with Telstra... ,positive
I think I did something wrong ,negative
@Darkestwizz YouTube wouldn't let me upload my video yesterday ,negative
"@PamDH My husband won't watch Grey's either, and he's not even a doctor! ",positive
@chrysalisceo delete is your friend ,positive
"@dylanjthomas ...oh yeah, I forgot...It's Dylan Thomas's one man band!  ",positive
@Tinchen82  I feel you! Just thinking about last European tour leg here  ... It can suck big times!!,negative
@sarbour You can tether with Rogers free until new year. You need to restore (not just update) to get button ,negative
"Lunch with colleagues, sharing the weekend adventures ",positive
@bluapp Any way to resize the window of Blu at all? Will this feature come out soon? ,positive
"chelsea best show everton whats good, im dreading the barbers if they don't ",negative
O god the prince is on the news! ,negative
sick.....not feeling good ,negative
I should have posted this for the world Pinhole day   I Love this picture. http://twitpic.com/4jb4d,positive
"I had the most fun tonight than I've had in a long time, it seems. Not too much tension. And no drinking. ",positive
@RachelRoseberry @morganbritney....i started with my iced coffee as well  happy friday!,positive
@farabovetheclou @KeepWerking .....and draw hearts with Ralf's name inside! ,positive
Stupid breaks on my car failed not a very good day today ,negative
Picked up the toad to go. Now munchin down. Then take the folks to the airport for Bonaire....with out us! ,negative
"@rdavidian I love piano! My mom played, and it's my favorite music. I'd take it up again, but my fingers are too arthritic. ",negative
Love the sense of humor esp your hair    http://lookbook.nu/look/156755,positive
@GreysNerd http://bit.ly/cntcr  look at la croix  u know it ! *thihi*,positive
@hollyaiken thanks for the reply  i love your designs!,positive
serÃ¡Ã¡Ã¡Ã¡Ã¡que eu vo assistir Transformers 2 sextaa? who knows; ,negative
catched up on the inbetweeners. YAYYY! ,positive
Its 6.36pm in the lovely Albany. What time is it over there guys? Love to here from you! ,positive
such a beautiful day outside and I am inside the office without any window. ,negative
Thanks for everything ,positive
